,PMT_old,AMP,PMT_new
0,118,0.6.0,184
1,119,0.6.8,185
2,120,0.7.0,186
3,121,0.6.9,187
4,135,0.7.1,199
5,136,0.6.1,200
6,137,0.6.10,155
7,138,0.7.2,168
8,151,0.6.2,169
9,152,0.6.11,170
10,153,0.7.3,171
11,154,0.6.3,172
12,155,0.6.12,137
13,168,0.7.4,138
14,169,0.6.4,151
15,170,0.6.13,152
16,171,0.7.5,153
17,172,0.6.5,154
18,184,0.6.14,118
19,185,0.7.6,119
20,186,0.6.6,120
21,187,0.6.15,121
22,199,0.7.7,135
23,200,0.6.7,136
24,156,1.1.8,206
25,157,1.2.0,205
26,158,1.2.8,204
27,159,1.1.9,203
28,160,1.2.1,194
29,161,1.2.9,193
30,173,1.2.10,192
31,174,1.1.10,191
32,175,1.2.2,190
33,176,1.2.11,189
34,177,1.1.11,188
35,178,1.2.3,179
36,179,1.2.12,178
37,188,1.1.12,177
38,189,1.2.4,176
39,190,1.2.13,175
40,191,1.1.13,174
41,192,1.2.5,173
42,193,1.2.14,161
43,194,1.1.14,160
44,203,1.2.6,159
45,204,1.1.15,158
46,205,1.2.7,157
47,206,1.2.15,156
48,125,,126
49,126,,125
